[清]_曹雪芹_著 《红楼梦》
[英]_赫胥黎 《美丽新世界》
曹文轩 《草房子》
金庸 《倚天屠龙记(共四册)》
(美)_斯塔夫里阿诺斯 《全球通史》
林达 《总统是靠不住的》
[加拿大]_阿利斯泰尔·麦克劳德 《海风中失落的血色馈赠》
[美]_路易斯·贾内梯 《认识电影》
顾城 《顾城的诗》
三毛 《雨季不再来》
[古希腊]_柏拉图 《理想国》
纳训 《一千零一夜》
江南 《九州·缥缈录》
[澳]_考琳·麦卡洛 《荆棘鸟》
[明]_施耐庵 《水浒传（全二册）》
孙武 《孙子兵法》
宗萨蒋扬钦哲仁波切 《正见》
三浦紫苑 《强风吹拂》
何兆武_口述 《上学记》
刘瑜 《民主的细节》
曹禺 《雷雨》
于娟 《此生未完成》
[哥伦比亚]_加西亚·马尔克斯 《一桩事先张扬的凶杀案》
[美]_G._伽莫夫 《从一到无穷大》
王小波 《青铜时代》
迟子建 《额尔古纳河右岸》
中华书局 《论语》
[日]_东野圭吾 《恶意》
孙通海_译注 《庄子》
金宇澄 《繁花》
[巴西]_保罗·柯艾略 《牧羊少年奇幻之旅》
张爱玲 《金锁记》
中国基督教协会 《圣经》
毛泽东 《毛泽东选集 第一卷》
[美]_Paul_Graham 《黑客与画家》
林达 《如彗星划过夜空》
[美]_安迪·威尔 《火星救援》
[美]_悉达多·穆克吉 《众病之王》
冯友兰 《中国哲学简史》
[奥]_斯蒂芬·茨威格 《象棋的故事》
[美]_艾萨克·阿西莫夫 《银河帝国：基地七部曲》
[美]_特德·姜 《你一生的故事》
[英]_威廉·萨默塞特·毛姆 《毛姆短篇小说精选集》
张爱玲 《张爱玲文集》
[美]_保罗·卡拉尼什 《当呼吸化为空气》
[美]_E.B.怀特 《夏洛的网》
[德]赫尔曼·黑塞 《荒原狼》
齐邦媛 《巨流河》
陈凯歌 《少年凯歌》
[英]_夏洛蒂·勃朗特 《简爱（英文全本）》
[奥]_斯蒂芬·茨威格 《人类的群星闪耀时》
[日]_是枝裕和 《步履不停》
[德]_帕·聚斯金德 《香水》
[英]_石黑一雄 《长日将尽》
三毛 《稻草人手记》
[俄]_列夫·托尔斯泰 《安娜·卡列尼娜》
[白俄]_S._A._阿列克谢耶维奇 《二手时间》
[日]_原研哉 《设计中的设计》
[日]_岛田洋七 《佐贺的超级阿嬷》
[英]_肯·福莱特 《世界的凛冬》
岸见一郎 《被讨厌的勇气》
[日]_村上春树 《挪威的森林》
[法]_米歇尔·福柯 《规训与惩罚》
卢梭 《社会契约论》
[美]_斯科特·菲茨杰拉德 《了不起的盖茨比》
[日]_村上春树 《世界尽头与冷酷仙境》
老舍 《骆驼祥子》
[英]_莎士比亚 《哈姆莱特》
[日]_三岛由纪夫 《金阁寺》
汤显祖 《牡丹亭》
[美]_埃里克·霍弗 《狂热分子》
海明威 《老人与海》
[日]_乙一 《ZOO》
[美]_罗伯特·西奥迪尼 《影响力》
(日)_上野千鹤子 《厌女》
[法国]_儒尔·凡尔纳 《海底两万里》
古龙 《多情剑客无情剑(上、中、下)》
[日]_是枝裕和 《如父如子》
[美]_理查德·费曼 《别闹了，费曼先生》
[意]_伊塔洛·卡尔维诺 《不存在的骑士》
李娟 《遥远的向日葵地》
Elliot_Aronson 《社会性动物》
刘亮程 《一个人的村庄》
[日]凑佳苗 《告白》
[瑞典]_阿斯特丽德·林格伦 《长袜子皮皮》
[奥]_里尔克 《给青年诗人的信》
任东来 《美国宪政历程》
阿来 《尘埃落定》
